Otu,Phylum
Otu1879,Rotifera
Otu1979,Rotifera
Otu2516,Rotifera
Otu3312,Rotifera
Otu2798,Streptophyta
Otu2529,Streptophyta
Otu126,Streptophyta
Otu322,Streptophyta
Otu823,Streptophyta
Otu1049,Streptophyta
Otu60,Streptophyta
Otu1444,Streptophyta
Otu3433,Streptophyta
Otu2483,Streptophyta
Otu585,Streptophyta
Otu2650,Streptophyta
Otu2854,Streptophyta
Otu3336,Streptophyta
Otu1426,Streptophyta
Otu55,Streptophyta
Otu131,Streptophyta
Otu2045,Streptophyta
Otu2793,Streptophyta
Otu14,Streptophyta
Otu140,Streptophyta
Otu596,Streptophyta
Otu850,Streptophyta
Otu1285,Streptophyta
Otu2101,Streptophyta
Otu2379,Streptophyta
Otu1892,Streptophyta
Otu2255,Streptophyta
Otu5,Streptophyta
Otu19,Streptophyta
Otu99,Streptophyta
Otu102,Streptophyta
Otu172,Streptophyta
Otu227,Streptophyta
Otu273,Streptophyta
Otu402,Streptophyta
Otu473,Streptophyta
Otu734,Streptophyta
Otu847,Streptophyta
Otu911,Streptophyta
Otu1328,Streptophyta
Otu1400,Streptophyta
Otu1711,Streptophyta
Otu1718,Streptophyta
Otu2096,Streptophyta
Otu2769,Streptophyta
Otu3250,Streptophyta
Otu285,Streptophyta
Otu12,Streptophyta
Otu16,Streptophyta
Otu37,Streptophyta
Otu66,Streptophyta
Otu78,Streptophyta
Otu148,Streptophyta
Otu151,Streptophyta
Otu156,Streptophyta
Otu184,Streptophyta
Otu218,Streptophyta
Otu277,Streptophyta
Otu292,Streptophyta
Otu372,Streptophyta
Otu376,Streptophyta
Otu403,Streptophyta
Otu410,Streptophyta
Otu415,Streptophyta
Otu450,Streptophyta
Otu488,Streptophyta
Otu533,Streptophyta
Otu544,Streptophyta
Otu568,Streptophyta
Otu632,Streptophyta
Otu648,Streptophyta
Otu698,Streptophyta
Otu728,Streptophyta
Otu784,Streptophyta
Otu806,Streptophyta
Otu813,Streptophyta
Otu816,Streptophyta
Otu982,Streptophyta
Otu1111,Streptophyta
Otu1140,Streptophyta
Otu1159,Streptophyta
Otu1252,Streptophyta
Otu1270,Streptophyta
Otu1307,Streptophyta
Otu1314,Streptophyta
Otu1351,Streptophyta
Otu1354,Streptophyta
Otu1358,Streptophyta
Otu1365,Streptophyta
Otu1378,Streptophyta
Otu1946,Streptophyta
Otu2076,Streptophyta
Otu2183,Streptophyta
Otu2236,Streptophyta
Otu2296,Streptophyta
Otu2303,Streptophyta
Otu2320,Streptophyta
Otu2365,Streptophyta
Otu2447,Streptophyta
Otu2461,Streptophyta
Otu2462,Streptophyta
Otu2696,Streptophyta
Otu2802,Streptophyta
Otu2805,Streptophyta
Otu2809,Streptophyta
Otu2814,Streptophyta
Otu2821,Streptophyta
Otu2862,Streptophyta
Otu2879,Streptophyta
Otu2904,Streptophyta
Otu2915,Streptophyta
Otu2938,Streptophyta
Otu2961,Streptophyta
Otu3031,Streptophyta
Otu3032,Streptophyta
Otu3075,Streptophyta
Otu3096,Streptophyta
Otu3111,Streptophyta
Otu3167,Streptophyta
Otu3170,Streptophyta
Otu3382,Streptophyta
Otu2735,Streptophyta
Otu522,Streptophyta
Otu616,Streptophyta
Otu1003,Streptophyta
Otu2410,Streptophyta
Otu2600,Streptophyta
Otu2658,Streptophyta
Otu2755,Streptophyta
Otu2901,Streptophyta
Otu3319,Streptophyta
Otu1515,Streptophyta
Otu2804,Streptophyta
Otu1559,Streptophyta
Otu1326,Streptophyta
Otu442,Streptophyta
Otu2706,Streptophyta
Otu141,Streptophyta
Otu369,Streptophyta
Otu2050,Streptophyta
Otu3129,Streptophyta
Otu374,Streptophyta